文件绝对路径,求解结果(kissat),求解结果(neurobranch),求解总时间(kissat),求解总时间(neurobranch),decision时间(kissat),decision时间(neurobranch),剩余时间(kissat),剩余时间(neurobranch),decision次数(kissat),decision次数(neurobranch),conflict次数(kissat),conflict次数(neurobranch)
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_229.cnf,SAT,SAT,10.83,444613.77,0.04,444596.66,10.79,17.11,[GREEN]1319,[GREEN]1292,[GREEN]1092,[GREEN]1066
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_234.cnf,SAT,SAT,11.17,495136.27,0.05,495118.60,11.12,17.66,[YELLOW]1440,[YELLOW]1443,[GREEN]1256,[GREEN]1209
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_246.cnf,SAT,SAT,11.22,475154.66,0.05,475137.20,11.18,17.46,[GREEN]1413,[GREEN]1393,[GREEN]1196,[GREEN]1177
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_272.cnf,SAT,SAT,11.97,456643.64,0.05,456626.87,11.92,16.77,[GREEN]1432,[GREEN]1325,[GREEN]1184,[GREEN]1085
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_282.cnf,SAT,SAT,13.57,354577.38,0.04,354558.12,13.53,19.26,[GREEN]1189,[GREEN]1161,[GREEN]1034,[GREEN]1007
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_33.cnf,SAT,SAT,11.33,500155.17,0.05,500138.46,11.28,16.71,[GREEN]1514,[GREEN]1440,[GREEN]1283,[GREEN]1196
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_357.cnf,SAT,SAT,11.67,399787.54,0.04,399771.74,11.63,15.80,[GREEN]1219,[GREEN]1183,[GREEN]1061,[GREEN]1026
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_363.cnf,SAT,SAT,13.75,501165.45,0.07,501148.08,13.68,17.37,[GREEN]1604,[GREEN]1465,[GREEN]1237,[GREEN]1104
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_368.cnf,SAT,SAT,11.97,525992.46,0.06,525974.51,11.92,17.95,[GREEN]1744,[GREEN]1535,[GREEN]1355,[GREEN]1137
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_380.cnf,SAT,SAT,11.32,464800.29,0.04,464783.76,11.27,16.53,[GREEN]1380,[GREEN]1348,[GREEN]1100,[GREEN]1076
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_393.cnf,SAT,SAT,12.99,426774.43,0.06,426758.85,12.92,15.59,[GREEN]1557,[GREEN]1256,[GREEN]1300,[GREEN]1024
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_399.cnf,SAT,SAT,10.79,524341.24,0.05,524325.18,10.73,16.06,[GREEN]1778,[GREEN]1556,[GREEN]1231,[GREEN]1035
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_441.cnf,SAT,SAT,13.02,430058.49,0.04,430036.74,12.98,21.75,[GREEN]1408,[GREEN]1264,[GREEN]1160,[GREEN]1020
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_452.cnf,SAT,SAT,10.98,426914.46,0.04,426898.92,10.94,15.55,[GREEN]1367,[GREEN]1256,[GREEN]1120,[GREEN]1010
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_466.cnf,SAT,SAT,10.79,402850.93,0.04,402834.82,10.75,16.11,[GREEN]1235,[GREEN]1179,[GREEN]1070,[GREEN]1021
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_467.cnf,SAT,SAT,10.99,412163.67,0.05,412148.69,10.94,14.98,[GREEN]1448,[GREEN]1200,[GREEN]1241,[GREEN]1030
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_471.cnf,SAT,SAT,11.98,544198.65,0.06,544181.20,11.92,17.45,[GREEN]1814,[GREEN]1572,[GREEN]1277,[GREEN]1061
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_508.cnf,SAT,SAT,11.37,434625.26,0.04,434608.29,11.33,16.97,[GREEN]1304,[GREEN]1281,[GREEN]1086,[GREEN]1062
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_583.cnf,SAT,SAT,11.98,510570.18,0.06,510547.50,11.92,22.67,[GREEN]1947,[GREEN]1895,[GREEN]1285,[GREEN]1245
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_637.cnf,SAT,SAT,11.14,426243.80,0.04,426225.61,11.10,18.19,[YELLOW]1243,[YELLOW]1246,[GREEN]1067,[GREEN]1055
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_649.cnf,SAT,SAT,11.69,506721.00,0.05,506703.16,11.64,17.85,[GREEN]1557,[GREEN]1491,[GREEN]1274,[GREEN]1206
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_675.cnf,SAT,SAT,11.56,463471.38,0.05,463453.68,11.51,17.70,[GREEN]1540,[GREEN]1365,[GREEN]1194,[GREEN]1039
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_708.cnf,SAT,SAT,11.29,598444.75,0.06,598418.72,11.23,26.03,[GREEN]1861,[GREEN]1744,[GREEN]1293,[GREEN]1180
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_756.cnf,SAT,SAT,10.60,426630.38,0.04,426606.91,10.55,23.47,[GREEN]1297,[GREEN]1251,[GREEN]1091,[GREEN]1042
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_786.cnf,SAT,SAT,12.84,590418.29,0.06,590398.00,12.78,20.29,[YELLOW]1699,[YELLOW]1709,[GREEN]1487,[GREEN]1445
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_800.cnf,SAT,SAT,11.71,427473.72,0.04,427455.98,11.67,17.75,[GREEN]1292,[GREEN]1244,[GREEN]1103,[GREEN]1049
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_801.cnf,SAT,SAT,14.19,436825.93,0.07,436808.37,14.12,17.56,[GREEN]1694,[GREEN]1296,[GREEN]1407,[GREEN]1031
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m403_b90/CBS_k3_n100_m403_b90_806.cnf,SAT,SAT,13.12,563210.13,0.07,563189.50,13.05,20.64,[GREEN]1963,[GREEN]1630,[GREEN]1547,[GREEN]1252
