文件绝对路径,求解结果(kissat),求解结果(neurobranch),求解总时间(kissat),求解总时间(neurobranch),decision时间(kissat),decision时间(neurobranch),剩余时间(kissat),剩余时间(neurobranch),decision次数(kissat),decision次数(neurobranch),conflict次数(kissat),conflict次数(neurobranch)
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b70/CBS_k3_n100_m449_b70_516.cnf,SAT,SAT,14.70,135655.34,0.04,135637.18,14.66,18.16,1245,1234,1081,1050
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b70/CBS_k3_n100_m449_b70_631.cnf,SAT,SAT,12.22,173876.71,0.04,173859.94,12.17,16.77,1550,1580,1060,1049
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b70/CBS_k3_n100_m449_b70_667.cnf,SAT,SAT,13.97,148892.99,0.05,148875.78,13.92,17.20,1495,1350,1281,1118
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b70/CBS_k3_n100_m449_b70_740.cnf,SAT,SAT,18.07,154875.54,0.04,154853.41,18.03,22.13,1443,1419,1075,1046
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b70/CBS_k3_n100_m449_b70_856.cnf,SAT,SAT,15.22,148005.67,0.04,147987.00,15.18,18.67,1267,1347,1086,1133
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b90/CBS_k3_n100_m449_b90_15.cnf,SAT,SAT,18.59,141943.80,0.04,141921.81,18.55,21.99,1302,1290,1065,1064
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b90/CBS_k3_n100_m449_b90_399.cnf,SAT,SAT,18.47,134124.22,0.04,134102.21,18.42,22.01,1351,1229,1189,1065
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b90/CBS_k3_n100_m449_b90_471.cnf,SAT,SAT,16.46,254789.43,0.04,254762.63,16.41,26.79,1327,2215,1136,1819
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b90/CBS_k3_n100_m449_b90_519.cnf,SAT,SAT,14.60,150669.71,0.04,150650.85,14.56,18.85,1358,1288,1199,1102
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b90/CBS_k3_n100_m449_b90_53.cnf,SAT,SAT,15.84,153133.00,0.04,153112.84,15.80,20.16,1331,1396,1154,1187
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b90/CBS_k3_n100_m449_b90_671.cnf,SAT,SAT,16.67,222722.10,0.07,222700.00,16.59,22.10,2081,1957,1695,1516
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b90/CBS_k3_n100_m449_b90_729.cnf,SAT,SAT,16.54,134958.16,0.04,134937.47,16.50,20.70,1222,1232,1005,1009
