文件绝对路径,求解结果(kissat),求解结果(neurobranch),求解总时间(kissat),求解总时间(neurobranch),decision时间(kissat),decision时间(neurobranch),剩余时间(kissat),剩余时间(neurobranch),decision次数(kissat),decision次数(neurobranch),conflict次数(kissat),conflict次数(neurobranch)
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_224.cnf,SAT,SAT,4.77,1307.24,0.00,1301.27,4.77,5.97,118,118,88,88
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_225.cnf,SAT,SAT,8.01,12908.78,0.04,12896.99,7.98,11.79,1188,1188,924,924
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_226.cnf,SAT,SAT,4.89,3346.84,0.01,3341.15,4.89,5.68,272,272,217,217
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_228.cnf,SAT,SAT,5.81,4833.36,0.01,4826.48,5.80,6.88,447,447,341,341
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_229.cnf,SAT,SAT,6.14,8090.53,0.02,8082.48,6.12,8.06,696,696,461,461
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_231.cnf,SAT,SAT,6.14,7161.59,0.02,7153.71,6.12,7.88,658,658,538,538
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_232.cnf,SAT,SAT,6.38,13607.57,0.03,13598.19,6.35,9.39,1100,1100,664,664
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_233.cnf,SAT,SAT,8.39,15845.23,0.04,15832.92,8.35,12.31,1367,1367,986,986
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_235.cnf,SAT,SAT,5.73,5585.90,0.01,5578.72,5.71,7.18,514,514,300,300
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_236.cnf,SAT,SAT,6.32,4211.30,0.01,4204.73,6.30,6.57,359,359,294,294
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_237.cnf,SAT,SAT,6.99,14546.37,0.03,14535.00,6.96,11.37,1296,1296,844,844
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_238.cnf,SAT,SAT,6.08,7924.24,0.02,7915.81,6.06,8.43,688,688,581,581
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_239.cnf,SAT,SAT,5.15,4679.54,0.01,4672.86,5.14,6.68,427,427,292,292
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_24.cnf,SAT,SAT,5.50,4622.96,0.01,4616.17,5.49,6.79,406,406,305,305
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_241.cnf,SAT,SAT,5.73,6631.24,0.02,6623.73,5.71,7.51,574,574,443,443
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_242.cnf,SAT,SAT,6.30,11504.44,0.03,11496.00,6.27,8.44,1019,1019,437,437
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_243.cnf,SAT,SAT,4.39,467.13,0.00,462.47,4.39,4.66,32,32,4,4
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_244.cnf,SAT,SAT,7.38,11664.06,0.03,11652.99,7.35,11.07,1039,1039,891,891
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_246.cnf,SAT,SAT,4.52,1784.90,0.00,1779.77,4.51,5.13,155,155,124,124
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_248.cnf,SAT,SAT,5.79,7771.38,0.02,7763.91,5.77,7.47,669,669,465,465
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_249.cnf,SAT,SAT,9.36,13379.89,0.04,13367.93,9.32,11.97,1159,1159,987,987
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_250.cnf,SAT,SAT,4.15,904.71,0.00,900.11,4.15,4.60,76,76,48,48
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_251.cnf,SAT,SAT,6.82,14344.89,0.03,14334.42,6.79,10.47,1122,1122,880,880
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_253.cnf,SAT,SAT,5.17,4123.80,0.01,4117.69,5.16,6.11,334,334,267,267
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_254.cnf,SAT,SAT,5.37,5147.52,0.01,5141.03,5.36,6.49,416,416,349,349
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_255.cnf,SAT,SAT,12.18,25418.61,0.16,25397.77,12.02,20.84,1906,2207,1612,1829
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_256.cnf,SAT,SAT,4.95,3616.53,0.01,3610.56,4.95,5.96,320,320,257,257
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_257.cnf,SAT,SAT,7.49,15534.80,0.04,15522.86,7.45,11.94,1451,1451,903,903
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_258.cnf,SAT,SAT,5.97,4135.68,0.01,4128.93,5.96,6.75,370,370,302,302
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_259.cnf,SAT,SAT,6.68,9991.22,0.03,9981.50,6.65,9.73,927,927,796,796
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_26.cnf,SAT,SAT,8.47,16629.91,0.05,16616.46,8.42,13.45,1559,1461,1196,1097
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_260.cnf,SAT,SAT,4.80,1539.86,0.00,1534.78,4.79,5.08,117,117,84,84
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_261.cnf,SAT,SAT,6.56,13678.76,0.03,13668.56,6.53,10.21,1237,1237,660,660
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_262.cnf,SAT,SAT,6.19,6784.63,0.02,6776.44,6.18,8.19,571,571,485,485
/home/richard/project/SAT_benchmark/SATLIB/BMS_k3_n100_m429/BMS_k3_n100_m429_263.cnf,SAT,SAT,6.36,9057.90,0.02,9048.84,6.34,9.06,845,845,589,589
